test,cq_value,protocol,orig_sample_id,site,,test2,cq_value_avg,protocol2,orig_sample_id2,site2
9,28.1,Laboratory,RA,bio dock,,,,,,
9,28.1,Laboratory,RA,bio dock,,,,,,
9,28.2,Laboratory,RA,bio dock,,,,,,
9,28.9,FASTeDNA,RA,bio dock,,,,,,
9,29,FASTeDNA,RA,bio dock,,,,,,
9,28.8,FASTeDNA,RA,bio dock,,,,,,
10,29,Laboratory,RB,bio dock,,,,,,
10,29,Laboratory,RB,bio dock,,,,,,
10,29.1,Laboratory,RB,bio dock,,,,,,
10,29.6,FASTeDNA,RB,bio dock,,,,,,
10,29.6,FASTeDNA,RB,bio dock,,,,,,
10,29.5,FASTeDNA,RB,bio dock,,,,,,
11,0,Laboratory,CAT01,keji 1,,,,,,
11,0,Laboratory,CAT01,keji 1,,,,,,
11,0,Laboratory,CAT01,keji 1,,,,,,
11,0,FASTeDNA,CAT01,keji 1,,,,,,
11,0,FASTeDNA,CAT01,keji 1,,,,,,
11,0,FASTeDNA,CAT01,keji 1,,,,,,
12,0,Laboratory,CAT02,keji 1,,,,,,
12,0,Laboratory,CAT02,keji 1,,,,,,
12,0,Laboratory,CAT02,keji 1,,,,,,
12,0,FASTeDNA,CAT02,keji 1,,,,,,
12,0,FASTeDNA,CAT02,keji 1,,,,,,
12,0,FASTeDNA,CAT02,keji 1,,,,,,
13,0,Laboratory,LPJ01,keji 2,,,,,,
13,0,Laboratory,LPJ01,keji 2,,,,,,
13,0,Laboratory,LPJ01,keji 2,,,,,,
13,0,FASTeDNA,LPJ01,keji 2,,,,,,
13,0,FASTeDNA,LPJ01,keji 2,,,,,,
13,0,FASTeDNA,LPJ01,keji 2,,,,,,
14,0,Laboratory,LPJ02,keji 2,,,,,,
14,0,Laboratory,LPJ02,keji 2,,,,,,
14,0,Laboratory,LPJ02,keji 2,,,,,,
14,0,FASTeDNA,LPJ02,keji 2,,,,,,
14,0,FASTeDNA,LPJ02,keji 2,,,,,,
14,0,FASTeDNA,LPJ02,keji 2,,,,,,
15,28.46,Laboratory,hull_eDNA_023B,hull_cleaning,,,,,,
15,28.45,Laboratory,hull_eDNA_023B,hull_cleaning,,,,,,
15,28.52,Laboratory,hull_eDNA_023B,hull_cleaning,,,,,,
15,29.49,FASTeDNA,hull_eDNA_023A,hull_cleaning,,,,,,
15,29.55,FASTeDNA,hull_eDNA_023A,hull_cleaning,,,,,,
15,29.31,FASTeDNA,hull_eDNA_023A,hull_cleaning,,,,,,
16,28.94,Laboratory,hull_eDNA_024B,hull_cleaning,,,,,,
16,28.91,Laboratory,hull_eDNA_024B,hull_cleaning,,,,,,
16,28.94,Laboratory,hull_eDNA_024B,hull_cleaning,,,,,,
16,29.64,FASTeDNA,hull_eDNA_024A,hull_cleaning,,,,,,
16,29.33,FASTeDNA,hull_eDNA_024A,hull_cleaning,,,,,,
16,29.65,FASTeDNA,hull_eDNA_024A,hull_cleaning,,,,,,
